id,name,vendor,type,segment,condition,warranty_tag,cpu,ram,ssd,gpu,screen,price,compare_at,stock_tracked,qty,url
54982391,[LikeNew] Dell Inspiron 7415 2in1  Ryzen 7- 5700U | 16GB | 512GB | 14 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,AMD Ryzen 7-5700U,16GB DDR4,512GB NVMe PCIe,onboard,14 inch FHD Cảm ứng,11280000,17960000,yes,3,https://laptoptv.vn/likenew-dell-inspiron-7415-2in1-ryzen-7-5700u-16gb-512gb-14-inch-fhd-cam-ung
44712772,Laptop cũ HP Elitebook X360 1040 G6 Core i7-8650U | 16GB | 512GB | 14 inch FHD Cảm ứng,HP,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i7,16GB,512GB,Intel Graphics,14 inch,11480000,14790000,no,0,https://laptoptv.vn/laptop-cu-hp-elitebook-x360-1040-g6-core-i7-8650u-16gb-512gb-14-inch-fhd
44712899,Laptop cũ HP Pavilion x360 Core i3-1115G4 | 8GB | 128GB | 14 inch FHD,HP,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i3-1135G4,8GB DDR4,128GB NVMe,Intel Graphics,14 inch Cảm ứng,11650000,13980000,no,0,https://laptoptv.vn/laptop-cu-2in1-hp-pavilion-x360-cam-ung-core-i3-1115g4-8gb-128gb
44712822,[Like New] Dell latitude 5320 2in1 Core i7-1185G7 | 16GB | 512GB | 13.3 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,intel Core i7-1185G7,16GB DDR4,512GB SSD NVMe PCIe,Intel Graphics,13.3 inch FHD,11680000,21930000,no,0,https://laptoptv.vn/laptop-cu-dell-latitude-5320-2in1-core-i7-1185g7-16gb-512gb-fhd-cam-ung
69475166,[Like New] Dell Latitude 7410 2in1 [Vỏ nhôm] Core i5-10310U | 16GB | 512GB | 14 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i5-10310U,16GB DDR4,512GB NVMe,Intel Graphics,14 inch FHD Cảm ứng,11780000,17860000,no,0,https://laptoptv.vn/like-new-dell-latitude-7410-2in1-vo-nhom-core-i5-10310u-16gb-512gb-14-inch-fhd-cam-ung
44712896,Laptop cũ HP Pavilion x360 Core I3-1215U | 8GB | 256GB | 14 inch FHD Cảm ứng,HP,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i3-1215U,8GB DDR4,256GB NVMe,Intel Graphics,14 inch Cảm ứng,11790000,14880000,no,0,https://laptoptv.vn/laptop-cu-2in1-hp-pavilion-x360-cam-ung-core-i3-1215u-ssd256
75521373,[Like New] Dell Latitude 7410 2in1 [Vỏ nhôm] Core i7-10610U | 16GB | 256GB | 14 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7-10610U,16GB DDR4,256GB Nvme,Intel Graphics,14 inch FHD Cảm ứng,11890000,19380000,no,0,https://laptoptv.vn/like-new-dell-latitude-7410-2in1-vo-nhom-core-i7-10610u-16gb-256gb-14-inch-fhd-cam-ung
44713053,[Like New] Dell Latitude 9410 2in1 Core i5-10210U | 16GB | 256GB | 14 inch FHD,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Core i5- 10210U,,256GB NVMe,onboard,14inch,11980000,15980000,yes,4,https://laptoptv.vn/dell-latitude-9410-2in1-core-i5-10210u-16g-256gb-man-hinh-14-inch-fhd
44712703,Laptop cũ Dell Inspiron 5406 2in1 Core i3-1115G4 | 8GB | 256GB | 14 inch FHD  Cảm ứng,Dell,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i3-1115G4,8GB DDR4,256GB NVMe PCIe,Intel Graphics,14 inch FHD+ Cảm ứng,12540000,14680000,no,0,https://laptoptv.vn/dell-inspiron-5406-2in1-ca-m-u-ng-core-i3-1115g4-8gb-256gb-xoay-ga-p-360
74183005,Laptop cũ Dell Inspiron 5410 Core i7-11370H | 16GB | 512GB | 14 inch FHD,Dell,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i7-1195G7,16GB DDR4,512GB NVMe,Intel Graphics,14 inch FHD Cảm ứng,12590000,18680000,no,0,https://laptoptv.vn/laptop-cu-dell-inspiron-5410-core-i7-11370h-16gb-512gb-14-inch-fhd
